available;dwellingId;rent;lat;deletedAt;lng;size;rooms;year;month
;112760;42000;55.6628304;18-12-2015;12.5759373;380;3;2015;12
;198912;15200;55.6450462;20-04-2018;12.5503368;102;4;2018;4
;128846;15673.83;55.6579514;08-11-2016;12.5928316;120;4;2016;11
;251715;15950;55.707634;21-03-2019;12.5942221;104;3;2019;3
;173249;19000;55.6979866;22-05-2017;12.5939684;128;4;2017;5
;85439;14338;55.6598969;07-04-2015;12.5722389;99;4;2015;4
;60950;20000;55.7483521;17-11-2014;12.5486422;150;4;2014;11
;126528;20130;55.7061958;06-05-2016;12.5751514;123;5;2016;5
;175922;5000;55.6862373;23-06-2017;12.591692;13;1;2017;6
;189672;12500;55.7442627;27-10-2017;12.5054445;72;3;2017;10
;241181;18800;55.6451263;01-11-2018;12.5530157;112;3;2018;11
;102440;5000;55.7106361;07-09-2015;12.5230322;20;1;2015;9
;17602;16500;55.6833344;23-04-2013;12.5411367;138;5;2013;4
;103066;12900;55.6525764;21-09-2015;12.5485134;100;3;2015;9
;131618;4175;55.6862373;13-06-2016;12.591692;14;1;2016;6
;216958;5050;55.6644363;18-03-2018;12.599514;NA;1;2018;3
;7160;13000;55.6928902;23-07-2012;12.5478048;71;3;2012;7
;155854;4000;55.6830711;29-12-2016;12.4922218;12;1;2016;12
;188899;13300;55.7302856;13-11-2017;12.5420599;88;2;2017;11
;30000;18000;55.6823502;17-12-2013;12.5133362;112;4;2013;12
;239619;10900;55.6515694;08-10-2018;12.5558395;65;2;2018;10
;194601;15000;55.6463814;09-02-2018;12.5521097;94;3;2018;2
;154107;12900;55.7411118;02-01-2017;12.4908466;98;4;2017;1
;158678;13995;55.6608429;14-03-2017;12.5030899;105;4;2017;3
;157743;16500;55.6848984;16-02-2017;12.568409;110;4;2017;2
;236276;15000;55.6862373;19-09-2018;12.591692;72;2;2018;9
;171571;9170;55.6815643;22-06-2017;12.4903355;58;2;2017;6
;106519;21900;55.6508751;20-11-2015;12.5991888;152;4;2015;11
;80656;9500;55.6875038;19-02-2015;12.5098028;68;3;2015;2
;108551;8500;55.6617928;30-12-2015;12.4028606;59;2;2015;12
;111240;4600;55.6542549;27-11-2015;12.5481472;8;1;2015;11
;236565;13900;55.6659889;08-10-2018;12.5537872;72;3;2018;10
;202461;15033;55.648571;14-11-2017;12.5420275;110;4;2017;11
;153486;13028;55.659935;14-12-2016;12.5720596;82;3;2016;12
;132035;17500;55.6782646;30-06-2016;12.5734634;102;3;2016;6
;178618;18200;55.6820793;12-07-2017;12.5642776;156;4;2017;7
;207951;5000;55.6862373;24-01-2018;12.591692;40;1;2018;1
;178759;8980;55.6636848;07-12-2017;12.5355911;169;4;2017;12
;223881;15917;55.6718712;15-04-2018;12.5738411;100;3;2018;4
;252692;13000;55.6347504;31-03-2019;12.5801897;90;3;2019;3
;39359;11750;55.6455536;27-03-2014;12.550642;91;3;2014;3
;62514;19825;55.6821861;11-11-2014;12.5766678;183;5;2014;11
;44520;4500;55.6857071;04-06-2014;12.4411764;50;1;2014;6
;177471;26000;55.6986656;05-07-2017;12.5866337;229;6;2017;7
;198626;6919;55.6791687;25-10-2017;12.5515079;30;1;2017;10
;55671;4892;55.684761;11-08-2014;12.6149244;12;1;2014;8
;185010;32000;55.6770058;24-07-2017;12.5390692;250;5;2017;7
;168156;12900;55.695343;14-04-2017;12.5985651;75;2;2017;4
;187350;18000;55.7435837;15-09-2017;12.4856405;120;NA;2017;9
;76338;4000;55.684761;12-01-2015;12.6149244;8;1;2015;1
;133077;3300;55.6629868;21-06-2016;12.6061459;15;1;2016;6
;204628;14700;55.6067123;29-11-2017;12.5943499;152;5;2017;11
;120362;12795.5;55.7096291;02-06-2016;12.5768661;78.5;2;2016;6
;182038;15500;55.6777344;24-07-2017;12.5439692;72;2;2017;7
;123827;4850;55.6533394;01-06-2016;12.5478363;8;1;2016;6
;209160;25000;55.666748;16-01-2018;12.5474586;67;3;2018;1
;94413;4000;55.7198334;20-07-2015;12.5741682;35;1;2015;7
;134544;13300;55.7262802;17-07-2016;12.4776649;98;3;2016;7
;235461;27500;55.6794014;03-09-2018;12.56707;298;7;2018;9
;120270;14597.48;55.6840096;05-08-2016;12.614727;102;2;2016;8
;175305;20000;55.6783104;19-07-2017;12.5235252;106;4;2017;7
;127778;14900;55.6451569;18-05-2016;12.550005;96;4;2016;5
;23761;13900;55.7123146;15-08-2013;12.5740747;127;5;2013;8
;195172;16995;55.7116814;09-12-2017;12.5723801;87;3;2017;12
;127613;28000;55.6848946;26-05-2016;12.5939608;210;5;2016;5
;224816;15500;55.7054901;24-06-2018;12.4359903;118;4;2018;6
;17982;15490;55.6774712;19-04-2013;12.5694447;195;4;2013;4
;63768;9500;55.6791878;01-10-2014;12.5267782;72;2;2014;10
;142715;13400;55.6486053;07-10-2016;12.5524931;90;3;2016;10
;59915;15500;55.6508751;01-09-2014;12.5991888;126;5;2014;9
;162483;4000;55.7023087;20-03-2017;12.5187826;14;1;2017;3
;215577;12334;55.6508751;06-04-2018;12.5991888;67;3;2018;4
;25484;12973.5;55.6725082;30-10-2013;12.5044222;115;5;2013;10
;80791;11200;55.725174;17-02-2015;12.4731359;102;4;2015;2
;32435;10986.59;55.6577187;10-02-2014;12.4734612;108;4;2014;2
;223798;15888;55.682766;02-11-2018;12.5727243;123;2;2018;11
;76384;4500;55.6605759;07-02-2015;12.6148796;8;1;2015;2
;247074;11900;55.7244301;;12.4742002;87;3;1900;1
;4200;44000;55.732811;06-06-2012;12.5711231;350;7;2012;6
;222933;7750;55.7411118;04-04-2018;12.4908466;53;2;2018;4
;14180;15500;55.6478233;04-02-2013;12.5485373;134;4;2013;2
;138448;18000;55.6486053;22-08-2016;12.5524931;115;4;2016;8
;221090;13271;55.6551857;07-05-2018;12.5485439;91;3;2018;5
;1277;11000;55.6508751;08-11-2011;12.5991888;85;3;2011;11
01-05-2019;249378;16500;55.7090721;;12.5857658;102;4;2019;5
;146614;15417;55.7037048;10-01-2017;12.5968084;100;3;2017;1
;213723;18450;55.7063866;09-07-2018;12.5924387;108;2;2018;7
;117716;4000;55.6786232;16-02-2016;12.5027657;9;1;2016;2
;192129;12000;55.697319;12-10-2017;12.5462427;85;2;2017;10
;157974;4359;55.6553154;08-02-2017;12.6100721;16;1;2017;2
;201531;16500;55.6653519;05-04-2018;12.6235104;126;5;2018;4
;49723;38000;55.7506447;18-08-2014;12.568347;350;7;2014;8
;14697;11500;55.6833344;11-01-2013;12.5411367;96;3;2013;1
;94195;14448;55.7037468;24-06-2015;12.596755;99;3;2015;6
;228690;21400;55.6862373;24-09-2018;12.591692;136;4;2018;9
;174319;5300;55.657692;12-06-2017;12.6221447;18;1;2017;6
;133156;5000;55.7078323;19-07-2016;12.5372019;20;1;2016;7
;140043;12899.58;55.6843262;24-08-2016;12.5009193;101;2;2016;8
;171257;4000;55.7007484;23-05-2017;12.5198069;10;1;2017;5
;113748;13000;55.6609688;15-01-2016;12.5631943;68;2;2016;1
;175316;5500;55.6862373;18-06-2017;12.591692;10;1;2017;6
;71809;20000;55.7587166;28-11-2014;12.4190474;185;5;2014;11
;119595;3000;55.6560555;18-02-2016;12.5365362;12;1;2016;2
;84910;5000;55.6354942;15-04-2015;12.5747395;10;1;2015;4
;14296;16000;55.7096291;07-04-2013;12.5768661;109;3;2013;4
;217576;12938;55.6551857;05-03-2018;12.5485439;90;3;2018;3
;169162;9467;55.6559334;24-04-2017;12.5529184;64;2;2017;4
;209456;13900;55.6608429;19-04-2018;12.5030899;96;3;2018;4
;74044;5000;55.6662064;12-03-2015;12.6124802;12;1;2015;3
